# g	 T	 Temp	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc
0.005	0.036751428639763876	0.34754591213691477	0.007805626975129307	271.4029144218064	1016.5737767543825	0.3065498232563266	0.00560379547619474	2.8773176868961494	1007.3056575107157
0.005	0.04068235467640356	0.3848202376486718	0.008180813747358552	297.55426312872345	1017.3736658950497	0.403852917977798	0.00865386748297859	2.5986159306750576	1007.6808472250523
0.005	0.04503373183773265	0.4261010610136453	0.008577579962755662	326.61794686476077	1018.2374394269234	0.5426208191261224	0.013048815113118263	2.346861088825067	1008.0776167103301
0.005	0.04985053149858875	0.4718213774570581	0.008996804292654044	358.8972882613481	1019.1743620963771	0.7410318949399868	0.019295773271420114	2.1194461458902696	1008.4968446721051
0.005	0.0551825351637771	0.5224617687916121	0.009439435192785976	394.72765345998596	1020.1960317133431	1.024782813672322	0.02809258086270543	1.9140156461837836	1008.9394796039799
0.005	0.06108484895868568	0.5785559260504417	0.009906489501809009	434.47976792223346	1021.3169810819728	1.430254089898008	0.04040780541112878	1.7284413744174743	1009.4065383865236
0.005	0.06761847314972176	0.6406969321594912	0.01039905267812106	478.5634601471741	1022.5554793859033	2.0090813184307024	0.05759478299405596	1.5608003563080368	1009.8991065245276
0.005	0.07485093258054977	0.7095444571881829	0.010918279505914853	527.431863177899	1023.9345920566459	2.8347562341067	0.08155440648882344	1.4093549598891215	1010.4183388535603
0.005	0.08285697453967224	0.7858330666419858	0.011465395898670036	581.5861889394756	1025.4835799070686	4.012170462327295	0.11496874688960558	1.2725348963402499	1010.9654613440356
0.005	0.0917193412717994	0.8703819105807385	0.012041702688171575	641.5812441096281	1027.2397466511609	5.691450894191719	0.16163847792146982	1.148920936710159	1011.541774890893
0.005	0.10152962511689222	0.9641061566739101	0.012648580145112302	708.031814890443	1029.2508816286834	8.088095828993964	0.22697293829064352	1.037230177483692	1012.1486598349943
0.005	0.1123892151147198	1.0680306714642007	0.013287496858197197	781.6203473294797	1031.5785107041381	11.51241639404166	0.31870360161458605	0.9363026987128235	1012.7875848431605
0.005	0.12441034485806653	1.1833066552939373	0.013960021038449181	863.106213824856	1034.3022429556697	16.412800582057628	0.44791868581740063	0.8450894749270186	1013.4601182136365
0.005	0.13771725242412403	1.3112322382106856	0.014667838480610302	953.337326906047	1037.5256282258092	23.439588433807796	0.6305399436486555	0.7626414077224072	1014.1679458389283
0.005	0.15244746437193202	1.4532784838158268	0.01541277714976806	1053.2649039767346	1041.3840997656978	33.539713615373934	0.8893621003136307	0.6880993637051118	1014.9128957942812
0.005	0.1687532170759493	1.6111229004011893	0.01619684387608443	1163.9628717756175	1046.055811028867	48.09709328221527	1.2567202576044858	0.6206851133150598	1015.6969750348196
0.005	0.1868030300852	1.786693503185572	0.01702227481374347	1286.6537325680702	1051.7764729475766	69.14045175836308	1.7777189243220741	0.5596930857010771	1016.5224198577365
0.005	0.20678344776862578	1.982227834038366	0.017891608122797383	1422.7439257955766	1058.859702922972	99.64933773908376	2.513764707183358	0.5044828767048001	1017.3917685885259
0.005	0.22890096724650358	2.200353265724981	0.018807782062655647	1573.8725242105495	1067.7249223589542	144.00154689128578	3.5459714800050484	0.4544724774776182	1018.3079596805417
0.005	0.2533841725330521	2.4441976157956877	0.019774267752857216	1741.9790726661226	1078.93560417179	208.62315893867557	4.977971106369572	0.4091322213627389	1019.2744644842046
0.005	0.2804860969465401	2.7175410961704656	0.020794818646976496	1929.28893608496	1093.2497099114428	302.92619326945476	6.937780906857914	0.3679797157103497	1020.2950367275085
0.005	0.31048683820234124	3.0250376972213333	0.021875363840807734	2138.872511320625	1111.7005377179817	440.6942969441493	9.579340931648964	0.33057439281452794	1021.3756058610444
0.005	0.3436964532158638	3.3725639597599133	0.023022449538579622	2374.4008680327206	1135.7440220758167	642.5446973643956	13.091061420397685	0.2965103143873921	1022.5227185703045
0.005	0.3804581625330674	3.7675235972354466	0.02424390792262238	2640.376013667969	1167.272494383256	937.9255537240163	17.679020115906937	0.26542634019168065	1023.7442075451406
0.005	0.4211518975062757	4.219631323474115	0.025550066548153956	2942.984397186419	1209.0166011835322	1371.29158030847	23.596895401821993	0.23698752884806015	1025.0504011237167
0.005	0.4661982268752627	4.74190126891484	0.026955645697950992	3290.985378290764	1264.9422440345995	2010.6517572735324	31.160078551017833	0.21088587536721212	1026.456020695707
0.005	0.516062703334728	5.351560032069591	0.028475389658847675	3695.72543399645	1340.475288966914	2956.8796495515203	40.71828297644759	0.1868614000417507	1027.9758119580042
0.005	0.5712606750098274	6.072827648872447	0.030132769115649723	4175.462970906823	1444.092152238791	4372.889428857684	52.75517312708949	0.16466793688532752	1029.6332479414357
0.005	0.6323626115662431	6.938548381729011	0.0319500601759232	4756.0781978534715	1587.9335935817858	6509.992290350981	67.8060748659583	0.1441223646480953	1031.4506080787473
0.005	0.7	7.996356597489681	0.03396024631039242	5478.242976369556	1791.8735816515364	9792.000651041933	86.62339608374384	0.12505695410256376	1033.4608812639551
